date,生猪,白萝卜,白条鸡,白条猪,大黄花鱼,豆粕,牛肉,农产品批发价格200指数,羊肉,玉米,进口量(吨),出口量(吨),进口金额(万美元),出口金额(万美元),原始生猪
1/3/2016,19.69092305,1.618123473,15.53796671,26.1953643,41.93450738,2839.399445,53.1073246,110.2014388,45.23876502,1786.12685,68591.05878,6509.212942,13491.70332,2383.738742,16.44666667
1/10/2016,19.64624527,1.615550283,15.51352844,26.14617907,41.95723654,2849.637618,53.1098586,110.0203839,45.23034257,1784.362808,68503.92944,6510.014513,13455.7214,2386.049296,16.87714286
1/17/2016,19.60124303,1.612948451,15.48900256,26.09673869,41.97990796,2859.799915,53.11246549,109.8397137,45.22213127,1782.606054,68413.39458,6510.893635,13419.14062,2388.351189,17.14428571
1/24/2016,19.55591369,1.610317916,15.46438994,26.04704163,42.0025181,2869.884211,53.11514608,109.6594645,45.21413866,1780.856662,68319.39247,6511.851573,13381.95133,2390.643657,17.37
1/31/2016,19.51025712,1.607658958,15.4396924,25.99708852,42.02forecast['yhat']50633,2879.888566,53.11790059,109.4796817,45.20637183,1779.114639,68221.87592,6512.888703,13344.14637,2392.925839,17.43714286
2/7/2016,19.46427561,1.604972124,15.41491285,25.94688199,42.04754079,2889.811177,53.12072888,109.3004179,45.1988377,1777.379933,68120.81311,6514.004489,13305.72125,2395.196783,17.17142857
2/14/2016,19.41797388,1.602258158,15.39005547,25.89642666,42.06994912,2899.650362,53.12363097,109.121729,45.19154312,1775.652442,68016.18949,6515.197632,13266.67457,2397.455465,15.86428571
2/21/2016,19.3713593,1.599517885,15.36512538,25.84572852,42.09228815,2909.404545,53.1266069,108.9436685,45.18449454,1773.931998,67908.01339,6516.466752,13227.00924,2399.700863,17.59714286
2/28/2016,19.32444198,1.596752211,15.34012788,25.79479421,42.11455894,2919.072231,53.12965605,108.7662856,45.17769789,1772.218368,67796.31875,6517.810493,13186.73317,2401.93194,17.54285714
3/6/2016,19.27723377,1.593962124,15.31506835,25.74363086,42.13676295,2928.652036,53.13277726,108.5896246,45.17115902,1770.511246,67681.16625,6519.227481,13145.85952,2404.147638,17.91685714
3/13/2016,19.22974803,1.591148718,15.28995235,25.69224633,42.15890209,2938.142713,53.13596877,108.4137257,45.16488384,1768.810259,67562.64164,6520.716289,13104.40637,2406.346892,18.116
3/20/2016,19.18199923,1.58831321,15.26478554,25.64064933,42.18097891,2947.543184,53.13922821,108.2386232,45.15887835,1767.114984,67440.846,6522.275298,13062.3946,2408.528669,18.75428571
3/27/2016,19.13400248,1.585456898,15.2395738,25.58884913,42.20299631,2956.85258,53.14255285,108.0643432,45.15314867,1765.424977,67315.89206,6523.902644,13019.84703,2410.691976,19.76571429
4/3/2016,19.08577281,1.582581084,15.21432309,25.53685513,42.22495727,2966.070287,53.14593942,107.8909013,45.14770112,1763.739804,67187.9044,6525.596199,12976.78839,2412.835868,19.715
